Time,Temperature,ProcessTemperature,AgentType,AgentFlow,SampleType,CatalystType,CatalystRatio,Hydrogen,Experiment_Group
34,700,700,Air,0.3,TWTS,No Catalyst,0.0,9.0,11
35,700,700,Air,0.3,TWTS,No Catalyst,0.0,8.0,11
36,700,700,Air,0.3,TWTS,No Catalyst,0.0,6.0,11
37,700,700,Air,0.3,TWTS,No Catalyst,0.0,5.0,11
38,700,700,Air,0.3,TWTS,No Catalyst,0.0,4.0,11
39,700,700,Air,0.3,TWTS,No Catalyst,0.0,4.0,11
40,700,700,Air,0.3,TWTS,No Catalyst,0.0,4.0,11
41,700,700,Air,0.3,TWTS,No Catalyst,0.0,4.0,11
42,700,700,Air,0.3,TWTS,No Catalyst,0.0,3.0,11
1,10,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
2,11,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
3,12,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
4,16,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
5,25,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
6,48,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
7,70,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
8,102,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
9,140,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
10,185,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
11,290,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
12,350,700,Air,0.4,TWTS,No Catalyst,0.0,0.0,38
13,402,700,Air,0.4,TWTS,No Catalyst,0.0,1.0,38
14,453,700,Air,0.4,TWTS,No Catalyst,0.0,1.0,38
15,513,700,Air,0.4,TWTS,No Catalyst,0.0,1.0,38
16,540,700,Air,0.4,TWTS,No Catalyst,0.0,1.0,38
17,575,700,Air,0.4,TWTS,No Catalyst,0.0,1.0,38
18,617,700,Air,0.4,TWTS,No Catalyst,0.0,2.0,38
19,632,700,Air,0.4,TWTS,No Catalyst,0.0,3.0,38
20,656,700,Air,0.4,TWTS,No Catalyst,0.0,5.0,38
21,680,700,Air,0.4,TWTS,No Catalyst,0.0,7.0,38
22,700,700,Air,0.4,TWTS,No Catalyst,0.0,10.0,38
23,700,700,Air,0.4,TWTS,No Catalyst,0.0,11.0,38
24,700,700,Air,0.4,TWTS,No Catalyst,0.0,10.0,38
25,700,700,Air,0.4,TWTS,No Catalyst,0.0,8.0,38
26,700,700,Air,0.4,TWTS,No Catalyst,0.0,7.0,38
27,700,700,Air,0.4,TWTS,No Catalyst,0.0,7.0,38
28,700,700,Air,0.4,TWTS,No Catalyst,0.0,8.0,38
29,700,700,Air,0.4,TWTS,No Catalyst,0.0,8.0,38
30,700,700,Air,0.4,TWTS,No Catalyst,0.0,7.0,38
31,700,700,Air,0.4,TWTS,No Catalyst,0.0,6.0,38
32,700,700,Air,0.4,TWTS,No Catalyst,0.0,5.0,38
33,700,700,Air,0.4,TWTS,No Catalyst,0.0,4.0,38
34,700,700,Air,0.4,TWTS,No Catalyst,0.0,4.0,38
35,700,700,Air,0.4,TWTS,No Catalyst,0.0,4.0,38
36,700,700,Air,0.4,TWTS,No Catalyst,0.0,3.0,38
37,700,700,Air,0.4,TWTS,No Catalyst,0.0,3.0,38
1,21,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
2,28,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
3,47,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
4,77,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
5,118,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
6,167,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
7,226,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
8,290,800,Air,0.05,Leather scraps,Marble dust,5.0,0.0,4
9,355,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
10,413,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
11,466,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
12,510,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
13,549,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
14,581,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
15,610,800,Air,0.05,Leather scraps,Marble dust,5.0,1.0,4
16,636,800,Air,0.05,Leather scraps,Marble dust,5.0,2.0,4
17,659,800,Air,0.05,Leather scraps,Marble dust,5.0,4.0,4
18,682,800,Air,0.05,Leather scraps,Marble dust,5.0,8.0,4
19,702,800,Air,0.05,Leather scraps,Marble dust,5.0,15.0,4
20,720,800,Air,0.05,Leather scraps,Marble dust,5.0,22.0,4
21,737,800,Air,0.05,Leather scraps,Marble dust,5.0,25.0,4
